Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
F,Spo0A-,cheC,BSU16450,0,-0.9,-2.2,-3.8,-4.4,-4.8,-5,-5.4,-5.4,-2.5,-1.7,-2.4
F,Spo0A-,cheD,BSU16460,0,-0.8,-2.1,-3.8,-4.4,-4.9,-5.1,-5.5,-5.5,-2.5,-1.9,-2.4
F,Spo0A-,cheW,BSU16440,0,-0.7,-2.1,-3.6,-4.2,-4.7,-5,-5.5,-5.7,-2.5,-1.9,-2.5
F,Spo0A-,cheY,BSU16330,0,-0.1,-2.1,-3.4,-3.8,-4.5,-4.6,-5,-5.9,-2.8,-2.1,-2.8
F,Spo0A-,comZ,BSU11310,0,-1,-1.1,-1.5,-1.5,-2.1,-2.6,-1.8,-1.1,0.3,0,0.5
F,Spo0A-,divIVA,BSU15420,0,0.8,0.6,-0.2,-0.6,-1.1,-1.9,-1.1,-2.2,0.5,0.3,0.6
F,Spo0A-,dltA,BSU38500,0,-1.3,-3.2,-4.2,-4.7,-4.3,-3,-3.9,-3.8,0.4,0.7,0.5
F,Spo0A-,dltB,BSU38510,0,-1.6,-3.7,-5.1,-5.9,-5.6,-4.6,-5.4,-5.1,0.2,0.5,0.2
F,Spo0A-,dltC,BSU38520,0,-1.9,-4,-5.5,-6.3,-6.4,-5.6,-6.7,-6.4,0.1,0.4,0.1
F,Spo0A-,dltD,BSU38530,0,-2.2,-4.1,-5.7,-6.5,-6.6,-5.9,-6.7,-6.2,0,0.3,0
F,Spo0A-,dltE,BSU38540,0,-2.3,-3.9,-4.5,-4.2,-3.9,-3.8,-4.1,-4.3,0.1,0.3,-0.1
F,Spo0A-,dnaA,BSU00010,0,1.2,0.2,-1.1,-1.6,-2.2,-3,-2.8,-3.6,1.6,1.6,1.7
F,Spo0A-,dnaG,BSU25210,0,0.7,0,0,0.1,0.4,0.4,0.2,0.4,0.7,0.6,0.7
F,Spo0A-,dnaN,BSU00020,0,0.8,-0.5,-1.7,-2.2,-2.7,-3.1,-3.3,-3.6,1.5,1.5,1.5
F,Spo0A-,flgB,BSU16180,0,0.8,-0.5,-2.4,-2.7,-3.3,-3.7,-3.3,-4.2,-1.7,-1.3,-1.5
F,Spo0A-,flgC,BSU16190,0,0.7,-0.7,-2.4,-2.9,-3.4,-4.1,-3.7,-4.3,-2,-1.5,-1.8
F,Spo0A-,flgE,BSU16290,0,0.2,-1.6,-3.1,-3.6,-4.1,-3.6,-4.2,-4.5,-2.6,-1.8,-2.5
F,Spo0A-,flhA,BSU16390,0,-0.4,-2.3,-3.9,-4.4,-4.7,-4.9,-5.1,-5.2,-2.3,-1.6,-2.3
F,Spo0A-,flhB,BSU16380,0,-0.1,-2.1,-3.7,-4.3,-4.5,-4.7,-5.1,-5.3,-2.2,-1.5,-2.1
F,Spo0A-,flhF,BSU16400,0,-0.5,-2.2,-3.8,-4.4,-4.8,-4.9,-4.9,-5.1,-2.5,-1.8,-2.4
F,Spo0A-,fliE,BSU16200,0,0.7,-0.7,-2.4,-3,-3.3,-3.9,-3.3,-3.7,-2.2,-1.6,-2
F,Spo0A-,fliF,BSU16210,0,0.6,-0.9,-2.5,-2.9,-3.4,-4.2,-3.7,-4.1,-2.2,-1.6,-2
F,Spo0A-,fliG,BSU16220,0,0.3,-1.3,-2.6,-3.1,-3.6,-4,-3.9,-4.4,-2.3,-1.7,-2.3
F,Spo0A-,fliH,BSU16230,0,0.4,-1.2,-2.7,-3.1,-3.8,-4.1,-3.7,-4.3,-2.3,-1.5,-2.1
F,Spo0A-,fliI,BSU16240,0,0.2,-1.4,-3,-3.5,-4,-4.5,-4.8,-5.2,-2.3,-1.6,-2.3
F,Spo0A-,fliJ,BSU16250,0,0.5,-1,-2.6,-3,-3.6,-3.6,-3.4,-3.4,-2.1,-1.5,-1.9
F,Spo0A-,fliK,BSU16270,0,0.4,-1.2,-2.9,-3.4,-3.9,-3.9,-3.7,-3.9,-2.5,-1.6,-2.2
F,Spo0A-,fliL,BSU16300,0,0,-1.7,-3.1,-3.7,-4.4,-4.2,-4.1,-4,-2.8,-2,-2.6
F,Spo0A-,fliM,BSU16310,0,-0.1,-1.9,-3.5,-4.1,-4.9,-5,-5.2,-5.4,-2.8,-2,-2.6
F,Spo0A-,fliP,BSU16350,0,0,-1.9,-3.4,-3.9,-4.5,-4.6,-4.8,-4.9,-2.7,-2,-2.7
F,Spo0A-,fliQ,BSU16360,0,-0.4,-2.2,-3.5,-4.1,-4.5,-4.6,-5.2,-5.4,-2.5,-1.6,-2.4
F,Spo0A-,fliR,BSU16370,0,-0.2,-2.2,-3.5,-4.1,-4.5,-4.8,-5.2,-5.5,-2.3,-1.6,-2.3
F,Spo0A-,fliY,BSU16320,0,-0.3,-2,-3.6,-4.3,-5,-5.5,-5.5,-5.9,-2.8,-1.9,-2.6
F,Spo0A-,fliZ,BSU16340,0,-0.1,-1.9,-3.4,-4,-4.5,-4.7,-5,-5.2,-2.8,-2.1,-2.8
F,Spo0A-,ftsE,BSU35260,0,0.7,-0.8,-2.2,-2.8,-2.9,-4.2,-3.9,-4.2,0.7,0.6,0.5
F,Spo0A-,ftsX,BSU35250,0,0.5,-0.7,-2,-2.8,-2.9,-3.7,-3.5,-3.5,0.8,0.4,0.5
F,Spo0A-,lytE,BSU09420,0,1.7,1.3,0.4,-0.1,-0.5,-2.1,-0.3,-1.4,2.4,2.2,2.4
F,Spo0A-,med,BSU11300,0,-1.1,-1.5,-1.4,-1.3,-1.8,-2,-2.5,-2.4,-0.4,-0.7,-0.3
F,Spo0A-,metS,BSU00380,0,-0.2,-0.5,0,-0.5,-1.3,-1.2,-1,-2,0.4,0.5,0.4
F,Spo0A-,nfrA,BSU38110,0,-0.4,-0.7,0.3,0.6,0.6,0.9,0.5,1,0.7,0.5,0.9
F,Spo0A-,pdxS,BSU00110,0,0.3,-0.6,-0.9,-1.6,-1.8,-2.2,-1.9,-2,-0.4,-0.3,-0.4
F,Spo0A-,pdxT,BSU00120,0,0.1,-0.8,-0.9,-1.4,-1.6,-2.2,-1.9,-2.2,-0.5,-0.6,-0.6
F,Spo0A-,phrA,BSU12440,0,1.2,1.5,1.5,1.5,1.4,1.2,1.5,1.1,-4.5,-4.4,-4.7
F,Spo0A-,pit,BSU12840,0,-0.6,-1.8,-1.6,-1.1,-0.7,-0.8,-0.8,-0.5,1.5,1.3,1.4
F,Spo0A-,rocD,BSU40340,0,-4.8,-5.1,-6.7,-7.3,-7.6,-6.7,-8,-6.5,-6.5,-6.1,-6.5
F,Spo0A-,rocE,BSU40330,0,-4.6,-5,-5.1,-5.5,-5.9,-5.4,-6.1,-6.4,-4.1,-4.2,-4.3
F,Spo0A-,rocF,BSU40320,0,-4.4,-4.9,-4.7,-4.9,-5.5,-5.2,-5.5,-5.5,-3.5,-4,-3.9
F,Spo0A-,rok,BSU14240,0,1.1,1.2,-0.2,-0.8,-1.1,-1.9,-1.1,-0.9,0.8,0.6,1
F,Spo0A-,sepF,BSU15390,0,0.5,0.5,0.5,0.5,0.3,0.1,-0.1,-0.2,0.5,0.3,0.5
F,Spo0A-,sigA,BSU25200,0,0.2,-1.5,-0.3,-0.5,-0.2,0.3,0.1,0.4,0.9,0.2,0.7
F,Spo0A-,sigD,BSU16470,0,-0.7,-2,-3.7,-4.2,-4.7,-5.1,-5.2,-5.4,-2.3,-1.7,-2.2
F,Spo0A-,sinR,BSU24610,0,0.1,0.8,1.3,1.7,1.7,1.1,1.3,1,-0.6,-1,0
F,Spo0A-,soj,BSU40970,0,0.5,0.2,-1.2,-1.6,-2.4,-4,-3.7,-4.5,0,0,0.1
F,Spo0A-,spo0J,BSU40960,0,0.3,0,-1.3,-1.8,-2.4,-3.4,-2.9,-4.1,-0.1,-0.1,-0.1
